URL,Domain,URLLength,DomainLength,IsDomainIP,HasHTTPS,TLD,label,description
https://razorpay.com/payment-link/pl_12345?txn_id=10000,razorpay.com,55,12,0,1,com,0,Legitimate merchant payment link
https://billdesk.com/pay/electricity?txn_id=10000,billdesk.com,49,12,0,1,com,0,Official bill payment portal
https://paytm.com/recharge?txn_id=10000,paytm.com,39,9,0,1,com,0,Legitimate recharge destination
https://www.bescom.co.in/paybill?txn_id=10000,bescom.co.in,45,12,0,1,in,0,Official electricity board website
https://sbi.co.in/portal/pay?txn_id=10000,sbi.co.in,41,9,0,1,in,0,Official SBI banking portal
https://www.icicibank.com/online-pay?txn_id=10000,icicibank.com,49,13,0,1,com,0,Official ICICI banking page
https://amazon.in/gp/pay?txn_id=10000,amazon.in,37,9,0,1,in,0,Official Amazon merchant checkout
https://flipkart.com/checkout/pay?txn_id=10000,flipkart.com,46,12,0,1,com,0,Official Flipkart checkout
https://swiggy.com/checkout?txn_id=10000,swiggy.com,40,10,0,1,com,0,Official food delivery payment
https://zomato.com/pay?txn_id=10000,zomato.com,35,10,0,1,com,0,Official food merchant checkout
http://elect-pay-bill.top/pay?session_id=90000,elect-pay-bill.top,46,18,0,0,top,1,Fake electricity payment portal
http://razorpay-reward-claim.xyz/collect?session_id=90000,razorpay-reward-claim.xyz,57,25,0,0,xyz,1,Typosquatted Razorpay imposter link
http://bank-kyc-update.online/login?session_id=90000,bank-kyc-update.online,52,22,0,0,online,1,Fake bank KYC phishing site
http://customs-clearance-pay.com/duty?session_id=90000,customs-clearance-pay.com,54,25,0,0,com,1,Fake customs payment link
http://police-challan-pay.tech/challan?session_id=90000,police-challan-pay.tech,55,23,0,0,tech,1,Fake police fine payment portal
http://refund-support-portal.site/fee?session_id=90000,refund-support-portal.site,54,26,0,0,site,1,Fake refund processing fee portal
http://incometax-refund-gov.in.net/claim?session_id=90000,incometax-refund-gov.in.net,57,27,0,0,net,1,Fake government income tax refund link
http://easy-money-pay.top/join?session_id=90000,easy-money-pay.top,47,18,0,0,top,1,Scam job registration payment link
http://bill-pay-fast.online/electricity?session_id=90000,bill-pay-fast.online,56,20,0,0,online,1,Urgency-driven fake utility payment URL
http://192.168.1.105/razorpay/pay.html?session_id=90000,192.168.1.105,55,13,1,0,105,1,Raw IP address payment destination
https://razorpay.com/payment-link/pl_12345?txn_id=10001,razorpay.com,55,12,0,1,com,0,Legitimate merchant payment link
https://billdesk.com/pay/electricity?txn_id=10001,billdesk.com,49,12,0,1,com,0,Official bill payment portal
https://paytm.com/recharge?txn_id=10001,paytm.com,39,9,0,1,com,0,Legitimate recharge destination
https://www.bescom.co.in/paybill?txn_id=10001,bescom.co.in,45,12,0,1,in,0,Official electricity board website
https://sbi.co.in/portal/pay?txn_id=10001,sbi.co.in,41,9,0,1,in,0,Official SBI banking portal
https://www.icicibank.com/online-pay?txn_id=10001,icicibank.com,49,13,0,1,com,0,Official ICICI banking page
https://amazon.in/gp/pay?txn_id=10001,amazon.in,37,9,0,1,in,0,Official Amazon merchant checkout
https://flipkart.com/checkout/pay?txn_id=10001,flipkart.com,46,12,0,1,com,0,Official Flipkart checkout
https://swiggy.com/checkout?txn_id=10001,swiggy.com,40,10,0,1,com,0,Official food delivery payment
https://zomato.com/pay?txn_id=10001,zomato.com,35,10,0,1,com,0,Official food merchant checkout
http://elect-pay-bill.top/pay?session_id=90001,elect-pay-bill.top,46,18,0,0,top,1,Fake electricity payment portal
http://razorpay-reward-claim.xyz/collect?session_id=90001,razorpay-reward-claim.xyz,57,25,0,0,xyz,1,Typosquatted Razorpay imposter link
http://bank-kyc-update.online/login?session_id=90001,bank-kyc-update.online,52,22,0,0,online,1,Fake bank KYC phishing site
http://customs-clearance-pay.com/duty?session_id=90001,customs-clearance-pay.com,54,25,0,0,com,1,Fake customs payment link
http://police-challan-pay.tech/challan?session_id=90001,police-challan-pay.tech,55,23,0,0,tech,1,Fake police fine payment portal
http://refund-support-portal.site/fee?session_id=90001,refund-support-portal.site,54,26,0,0,site,1,Fake refund processing fee portal
http://incometax-refund-gov.in.net/claim?session_id=90001,incometax-refund-gov.in.net,57,27,0,0,net,1,Fake government income tax refund link
http://easy-money-pay.top/join?session_id=90001,easy-money-pay.top,47,18,0,0,top,1,Scam job registration payment link
http://bill-pay-fast.online/electricity?session_id=90001,bill-pay-fast.online,56,20,0,0,online,1,Urgency-driven fake utility payment URL
http://192.168.1.105/razorpay/pay.html?session_id=90001,192.168.1.105,55,13,1,0,105,1,Raw IP address payment destination
https://razorpay.com/payment-link/pl_12345?txn_id=10002,razorpay.com,55,12,0,1,com,0,Legitimate merchant payment link
https://billdesk.com/pay/electricity?txn_id=10002,billdesk.com,49,12,0,1,com,0,Official bill payment portal
https://paytm.com/recharge?txn_id=10002,paytm.com,39,9,0,1,com,0,Legitimate recharge destination
https://www.bescom.co.in/paybill?txn_id=10002,bescom.co.in,45,12,0,1,in,0,Official electricity board website
https://sbi.co.in/portal/pay?txn_id=10002,sbi.co.in,41,9,0,1,in,0,Official SBI banking portal
https://www.icicibank.com/online-pay?txn_id=10002,icicibank.com,49,13,0,1,com,0,Official ICICI banking page
https://amazon.in/gp/pay?txn_id=10002,amazon.in,37,9,0,1,in,0,Official Amazon merchant checkout
https://flipkart.com/checkout/pay?txn_id=10002,flipkart.com,46,12,0,1,com,0,Official Flipkart checkout
https://swiggy.com/checkout?txn_id=10002,swiggy.com,40,10,0,1,com,0,Official food delivery payment
https://zomato.com/pay?txn_id=10002,zomato.com,35,10,0,1,com,0,Official food merchant checkout
http://elect-pay-bill.top/pay?session_id=90002,elect-pay-bill.top,46,18,0,0,top,1,Fake electricity payment portal
http://razorpay-reward-claim.xyz/collect?session_id=90002,razorpay-reward-claim.xyz,57,25,0,0,xyz,1,Typosquatted Razorpay imposter link
http://bank-kyc-update.online/login?session_id=90002,bank-kyc-update.online,52,22,0,0,online,1,Fake bank KYC phishing site
http://customs-clearance-pay.com/duty?session_id=90002,customs-clearance-pay.com,54,25,0,0,com,1,Fake customs payment link
http://police-challan-pay.tech/challan?session_id=90002,police-challan-pay.tech,55,23,0,0,tech,1,Fake police fine payment portal
http://refund-support-portal.site/fee?session_id=90002,refund-support-portal.site,54,26,0,0,site,1,Fake refund processing fee portal
http://incometax-refund-gov.in.net/claim?session_id=90002,incometax-refund-gov.in.net,57,27,0,0,net,1,Fake government income tax refund link
http://easy-money-pay.top/join?session_id=90002,easy-money-pay.top,47,18,0,0,top,1,Scam job registration payment link
http://bill-pay-fast.online/electricity?session_id=90002,bill-pay-fast.online,56,20,0,0,online,1,Urgency-driven fake utility payment URL
http://192.168.1.105/razorpay/pay.html?session_id=90002,192.168.1.105,55,13,1,0,105,1,Raw IP address payment destination
https://razorpay.com/payment-link/pl_12345?txn_id=10003,razorpay.com,55,12,0,1,com,0,Legitimate merchant payment link
https://billdesk.com/pay/electricity?txn_id=10003,billdesk.com,49,12,0,1,com,0,Official bill payment portal
https://paytm.com/recharge?txn_id=10003,paytm.com,39,9,0,1,com,0,Legitimate recharge destination
https://www.bescom.co.in/paybill?txn_id=10003,bescom.co.in,45,12,0,1,in,0,Official electricity board website
https://sbi.co.in/portal/pay?txn_id=10003,sbi.co.in,41,9,0,1,in,0,Official SBI banking portal
https://www.icicibank.com/online-pay?txn_id=10003,icicibank.com,49,13,0,1,com,0,Official ICICI banking page
https://amazon.in/gp/pay?txn_id=10003,amazon.in,37,9,0,1,in,0,Official Amazon merchant checkout
https://flipkart.com/checkout/pay?txn_id=10003,flipkart.com,46,12,0,1,com,0,Official Flipkart checkout
https://swiggy.com/checkout?txn_id=10003,swiggy.com,40,10,0,1,com,0,Official food delivery payment
https://zomato.com/pay?txn_id=10003,zomato.com,35,10,0,1,com,0,Official food merchant checkout
http://elect-pay-bill.top/pay?session_id=90003,elect-pay-bill.top,46,18,0,0,top,1,Fake electricity payment portal
http://razorpay-reward-claim.xyz/collect?session_id=90003,razorpay-reward-claim.xyz,57,25,0,0,xyz,1,Typosquatted Razorpay imposter link
http://bank-kyc-update.online/login?session_id=90003,bank-kyc-update.online,52,22,0,0,online,1,Fake bank KYC phishing site
http://customs-clearance-pay.com/duty?session_id=90003,customs-clearance-pay.com,54,25,0,0,com,1,Fake customs payment link
http://police-challan-pay.tech/challan?session_id=90003,police-challan-pay.tech,55,23,0,0,tech,1,Fake police fine payment portal
http://refund-support-portal.site/fee?session_id=90003,refund-support-portal.site,54,26,0,0,site,1,Fake refund processing fee portal
http://incometax-refund-gov.in.net/claim?session_id=90003,incometax-refund-gov.in.net,57,27,0,0,net,1,Fake government income tax refund link
http://easy-money-pay.top/join?session_id=90003,easy-money-pay.top,47,18,0,0,top,1,Scam job registration payment link
http://bill-pay-fast.online/electricity?session_id=90003,bill-pay-fast.online,56,20,0,0,online,1,Urgency-driven fake utility payment URL
